sid,uni_id,name,region,country,trackA_consensus
S-1429,4094,Kanazawa Institute of Technology,Asia (East & Southeast),Japan,35.34856893419446
S-4893,3308,Public University of Navarre,Eastern & Southern Europe,Spain,68.14387734182414
S-8409,2045,Free University of Berlin,Western & Northern Europe,Germany,72.0968753957916
S-4683,4171,Diponegoro University,Asia (East & Southeast),Indonesia,64.43485612819227
S-9006,3107,University of Beira Interior,Eastern & Southern Europe,Portugal,37.42926098238421
S-4639,4018,Shandong University,Asia (East & Southeast),China,45.0
S-2691,6066,National University of Cuyo,Latin America & Africa,Argentina,34.04226115416113
S-4368,4069,Tokyo Medical and Dental University,Asia (East & Southeast),Japan,61.78280805552343
S-9731,2179,University of Geneva,Western & Northern Europe,Switzerland/Austria,74.23988373280245
S-8741,1123,University of Rhode Island,North America,United States,54.25097532255004
S-6563,1163,Loyola Marymount University,North America,United States,79.50432447487637
S-6836,4153,Universiti Sains Malaysia,Asia (East & Southeast),Malaysia,59.866882501028215
S-3604,5150,University of Otago,South & Central Asia + Oceania,New Zealand,82.36922565128205
S-1448,6092,Pontifical Catholic University of Peru,Latin America & Africa,Peru & Andes,64.55695854579781
S-8980,2148,University of South-Eastern Norway,Western & Northern Europe,Norway,77.43738087563763
S-3123,2178,University of Zurich,Western & Northern Europe,Switzerland/Austria,78.38309242188936
S-4048,4014,Beijing Normal University,Asia (East & Southeast),China,9.951292456921376
S-6784,3033,University of Cagliari,Eastern & Southern Europe,Italy,45.40917262749775
S-2722,5138,Victoria University,South & Central Asia + Oceania,Australia,74.90878946304204
S-1362,6040,University of the State of Rio de Janeiro Norte,Latin America & Africa,Brazil,32.71095667727243
S-1097,6055,Autonomous University of Yucatan,Latin America & Africa,Mexico,22.06109456039532
S-8961,3133,Masaryk University,Eastern & Southern Europe,Czechia,79.67836474784998
S-4220,1095,Louisiana State University,North America,United States,75.70876328967202
S-2042,2135,Mid Sweden University,Western & Northern Europe,Sweden,63.992603313099735
S-6515,1078,University of Kansas,North America,United States,71.74183572608884
S-9898,1172,McMaster University,North America,Canada,66.3139432922803
S-5718,3166,Odesa I. I. Mechnikov National University,Eastern & Southern Europe,Ukraine,68.85994929648153
S-2911,4006,University of Science and Technology of China,Asia (East & Southeast),China,16.38961541963884
S-4588,1093,University of Houston,North America,United States,78.9384759344029
S-1009,3123,Athens University of Economics and Business,Eastern & Southern Europe,Greece,62.73642131502311
S-4796,1064,University of Delaware,North America,United States,65.8113527620099
S-8301,2066,Technical University of Darmstadt,Western & Northern Europe,Germany,79.07402019193282
S-8822,5164,Eastern University Sri Lanka,South & Central Asia + Oceania,Sri Lanka,74.82000330106834
S-7051,6526,University of Constantine 1,Latin America & Africa,Egypt & North Africa,43.756707178643
S-4768,5086,Bahria University,South & Central Asia + Oceania,Pakistan,45.0
S-9859,4046,Fuzhou University,Asia (East & Southeast),China,26.379982894415527
S-8505,4133,National Taiwan Normal University,Asia (East & Southeast),Taiwan,43.77792568093244
S-3555,4306,Yamagata University,Asia (East & Southeast),Japan,61.4607901399653
S-2756,6043,Monterrey Institute of Technology,Latin America & Africa,Mexico,64.63719075910737
S-7448,5022,Aligarh Muslim University,South & Central Asia + Oceania,India,81.27730698168483
S-4969,5332,Tajik National University,South & Central Asia + Oceania,Central Asia,61.23820701324612
S-2534,4309,Institute of Technology of Cambodia,Asia (East & Southeast),Other SE/E Asia,59.08414386688517
S-2273,2095,Paris-Est Creteil University,Western & Northern Europe,France,66.97625703437708
S-6852,4123,Chungbuk National University,Asia (East & Southeast),South Korea,65.96076130307522
S-4625,6311,Autonomous University of Hidalgo,Latin America & Africa,Mexico,36.45232508164297
S-5883,5130,James Cook University,South & Central Asia + Oceania,Australia,71.14246816212035
S-4767,2103,Utrecht University,Western & Northern Europe,Netherlands,53.84448555437042
S-4166,6145,Jomo Kenyatta University of Agriculture and Technology,Latin America & Africa,Sub-Saharan Africa,64.19669114723821
S-3419,2035,University of East Anglia,Western & Northern Europe,United Kingdom,56.22775786912469
S-9472,4085,Tokushima University,Asia (East & Southeast),Japan,66.56300448693712
S-4579,3078,Warsaw University of Technology,Eastern & Southern Europe,Poland,37.9372448117821
S-9288,1089,University of New Mexico,North America,United States,76.45591577117324
S-3181,2302,University of Lausanne,Western & Northern Europe,Switzerland/Austria,83.1333195613523
S-9559,5166,Sri Lanka Institute of Information Technology,South & Central Asia + Oceania,Sri Lanka,77.759957105508
S-9380,5116,Monash University,South & Central Asia + Oceania,Australia,80.2198319873129
S-9748,2031,University of Aberdeen,Western & Northern Europe,United Kingdom,73.97978112090743
S-6829,5172,Far Western University,South & Central Asia + Oceania,Nepal,55.489051352610886
S-2909,2074,University of Marburg,Western & Northern Europe,Germany,80.70011867176443
S-1658,2156,Roskilde University,Western & Northern Europe,Denmark,71.96449354550442
S-6482,1077,University of Missouri,North America,United States,63.24227799667559
S-6832,3049,University of Granada,Eastern & Southern Europe,Spain,59.97816846617885
S-4078,3142,University of South Bohemia,Eastern & Southern Europe,Czechia,71.53179496865997
S-1557,2029,University of Leicester,Western & Northern Europe,United Kingdom,84.22188350940526
S-4519,4126,National Yang Ming Chiao Tung University,Asia (East & Southeast),Taiwan,64.33926067560783
S-5705,2070,University of Duisburg-Essen,Western & Northern Europe,Germany,62.50556944250295
S-5792,4172,Sepuluh Nopember Institute of Technology,Asia (East & Southeast),Indonesia,78.16385648978215
S-7797,2053,University of Hamburg,Western & Northern Europe,Germany,73.06470247338898
S-1935,4004,Shanghai Jiao Tong University,Asia (East & Southeast),China,45.0
S-9896,6149,University of Cape Coast,Latin America & Africa,Sub-Saharan Africa,76.41062657121884
S-3105,1074,University of South Carolina,North America,United States,70.33497058267213
S-4371,6147,University of Ghana,Latin America & Africa,Sub-Saharan Africa,71.14714872575455
S-1222,5063,Maharaja Sayajirao University of Baroda,South & Central Asia + Oceania,India,76.4562691790536
S-9118,3066,University of Cantabria,Eastern & Southern Europe,Spain,58.42107574707264
S-1280,1050,University of Minnesota Twin Cities,North America,United States,68.92504515830227
S-9980,4208,Duy Tan University,Asia (East & Southeast),Vietnam,45.0
S-9824,2119,HAN University of Applied Sciences,Western & Northern Europe,Netherlands,65.5277511924568
S-6190,1126,Stony Brook University,North America,United States,73.85559620579048
S-3258,1196,University of Denver,North America,United States,69.92531237164334
S-9542,5061,Guru Gobind Singh Indraprastha University,South & Central Asia + Oceania,India,67.55979908895526
S-9134,2011,University of Glasgow,Western & Northern Europe,United Kingdom,68.77347968112925
S-2709,3110,University of Algarve,Eastern & Southern Europe,Portugal,74.57814905524802
S-8909,3072,University of Extremadura,Eastern & Southern Europe,Spain,36.99524935425168
S-9340,6351,University of Lome,Latin America & Africa,Sub-Saharan Africa,45.0
S-2216,3090,University of Gdansk,Eastern & Southern Europe,Poland,69.54488988858178
S-9562,6154,University of Botswana,Latin America & Africa,Sub-Saharan Africa,58.50085848731769
S-7017,2112,Vrije Universiteit Amsterdam,Western & Northern Europe,Netherlands,45.0
S-3504,3402,University of National and World Economy,Eastern & Southern Europe,Bulgaria & Slovakia,67.32470445379658
S-9808,3055,University of Salamanca,Eastern & Southern Europe,Spain,31.174606123846257
S-4965,3129,Technical University of Crete,Eastern & Southern Europe,Greece,45.0
S-5398,2172,University of Eastern Finland,Western & Northern Europe,Finland,66.15432512511492
S-5605,4113,Inha University,Asia (East & Southeast),South Korea,11.219559190476192
S-3144,4307,Kagawa University,Asia (East & Southeast),Japan,60.20656390247412
S-1810,3024,University of Parma,Eastern & Southern Europe,Italy,83.87492326450646
S-4138,6345,University of Jos,Latin America & Africa,Sub-Saharan Africa,72.3582501602991
S-1306,5046,Indian Statistical Institute,South & Central Asia + Oceania,India,58.70130489117388
S-9286,6019,Federal University of Rio Grande do Norte,Latin America & Africa,Brazil,40.53101792426673
S-2732,1025,University of Wisconsin-Madison,North America,United States,69.5110767883825
S-5242,1096,University of Mississippi,North America,United States,67.03910947221434
S-6670,2016,University of Nottingham,Western & Northern Europe,United Kingdom,76.87971932455629
S-3692,3115,Polytechnic Institute of Lisbon,Eastern & Southern Europe,Portugal,62.911270113833
S-6763,6523,University of Venda,Latin America & Africa,South Africa,74.38737976930295
S-9829,1141,Middlebury College,North America,United States,59.756350237757786
S-3006,2004,University College London,Western & Northern Europe,United Kingdom,45.0
S-3923,1067,University of Massachusetts Amherst,North America,United States,72.64756240601457
S-2969,6077,Externado University of Colombia,Latin America & Africa,Colombia,41.99029375894399
S-7117,2143,Nord University,Western & Northern Europe,Norway,31.583058342650567
S-9596,4032,Beijing Institute of Technology,Asia (East & Southeast),China,45.0
S-7365,4164,Universiti Tunku Abdul Rahman,Asia (East & Southeast),Malaysia,68.51664509367437
S-8025,2099,University of Poitiers,Western & Northern Europe,France,74.3892865841691
S-7729,3150,Carol Davila University of Medicine and Pharmacy,Eastern & Southern Europe,Romania,65.14399149284375
S-6022,6046,Autonomous University of Puebla,Latin America & Africa,Mexico,24.875788141043337
S-4047,6333,Ferhat Abbas University of Setif,Latin America & Africa,Egypt & North Africa,28.59590380848861
S-7699,4182,Chiang Mai University,Asia (East & Southeast),Thailand,72.54233275168691
S-7586,3036,Marche Polytechnic University,Eastern & Southern Europe,Italy,65.66094745973582
S-7574,5306,IIIT Delhi,South & Central Asia + Oceania,India,45.0
S-9869,1071,"University of Tennessee, Knoxville",North America,United States,67.69333414654017
S-2958,5118,University of Adelaide,South & Central Asia + Oceania,Australia,72.81594571382496
S-1572,5023,Savitribai Phule Pune University,South & Central Asia + Oceania,India,45.0
